PLUS_MINUS_HOME,PLUS_MINUS_AWAY,TEAM_NAME_HOME,TEAM_NAME_AWAY
-2,2,Toronto Huskies,New York Knicks
11,-11,Cleveland Rebels,Toronto Huskies
2,-2,Toronto Huskies,Detroit Falcons
10,-10,Chicago Stags,Toronto Huskies
17,-17,Toronto Huskies,Providence Steamrollers
4,-4,Boston Celtics,Toronto Huskies
6,-6,Pittsburgh Ironmen,Toronto Huskies
-2,2,Toronto Huskies,Cleveland Rebels
1,-1,Toronto Huskies,Boston Celtics
24,-24,Washington Capitols,Toronto Huskies
-10,10,Toronto Huskies,Washington Capitols
-15,15,Toronto Huskies,Cleveland Rebels
14,-14,Providence Steamrollers,Toronto Huskies
-4,4,Chicago Stags,Toronto Huskies
-9,9,Providence Steamrollers,Toronto Huskies
-12,12,Toronto Huskies,Philadelphia Warriors
-10,10,Toronto Huskies,Pittsburgh Ironmen
-4,4,St. Louis Bombers,Toronto Huskies
16,-16,Cleveland Rebels,Toronto Huskies
4,-4,Toronto Huskies,New York Knicks
-8,8,Toronto Huskies,Chicago Stags
-4,4,Detroit Falcons,Toronto Huskies
11,-11,Toronto Huskies,Chicago Stags
-5,5,Toronto Huskies,Boston Celtics
15,-15,Toronto Huskies,Detroit Falcons
-13,13,New York Knicks,Toronto Huskies
19,-19,Philadelphia Warriors,Toronto Huskies
15,-15,Washington Capitols,Toronto Huskies
-30,30,Toronto Huskies,Philadelphia Warriors
-10,10,Toronto Huskies,Detroit Falcons
1,-1,Toronto Huskies,St. Louis Bombers
-3,3,Toronto Huskies,Providence Steamrollers
-6,6,Toronto Huskies,Cleveland Rebels
10,-10,Cleveland Rebels,Toronto Huskies
9,-9,Toronto Huskies,Washington Capitols
15,-15,Chicago Stags,Toronto Huskies
-3,3,Pittsburgh Ironmen,Toronto Huskies
18,-18,Philadelphia Warriors,Toronto Huskies
23,-23,New York Knicks,Toronto Huskies
11,-11,Toronto Huskies,Pittsburgh Ironmen
16,-16,St. Louis Bombers,Toronto Huskies
8,-8,Toronto Huskies,St. Louis Bombers
10,-10,Washington Capitols,Toronto Huskies
6,-6,Toronto Huskies,Boston Celtics
9,-9,Detroit Falcons,Toronto Huskies
23,-23,Toronto Huskies,Providence Steamrollers
8,-8,Toronto Huskies,Philadelphia Warriors
15,-15,New York Knicks,Toronto Huskies
10,-10,Philadelphia Warriors,Toronto Huskies
-3,3,Pittsburgh Ironmen,Toronto Huskies
-16,16,Toronto Huskies,Washington Capitols
2,-2,Boston Celtics,Toronto Huskies
8,-8,Toronto Huskies,St. Louis Bombers
12,-12,Boston Celtics,Toronto Huskies
7,-7,Providence Steamrollers,Toronto Huskies
-6,6,Toronto Huskies,Pittsburgh Ironmen
-16,16,Toronto Huskies,Chicago Stags
20,-20,St. Louis Bombers,Toronto Huskies
10,-10,Toronto Huskies,New York Knicks
3,-3,Detroit Falcons,Toronto Huskies
15,-15,Toronto Raptors,New Jersey Nets
8,-8,Indiana Pacers,Toronto Raptors
9,-9,Chicago Bulls,Toronto Raptors
-19,19,Toronto Raptors,Sacramento Kings
-4,4,Toronto Raptors,Phoenix Suns
6,-6,Charlotte Hornets,Toronto Raptors
-3,3,Toronto Raptors,Utah Jazz
-3,3,Toronto Raptors,Houston Rockets
18,-18,Toronto Raptors,Minnesota Timberwolves
-1,1,Washington Bullets,Toronto Raptors
5,-5,Toronto Raptors,Seattle SuperSonics
10,-10,Milwaukee Bucks,Toronto Raptors
12,-12,Atlanta Hawks,Toronto Raptors
3,-3,Toronto Raptors,Golden State Warriors
4,-4,Cleveland Cavaliers,Toronto Raptors
3,-3,Toronto Raptors,Philadelphia 76ers
-18,18,Toronto Raptors,Miami Heat
30,-30,Seattle SuperSonics,Toronto Raptors
8,-8,Portland Trail Blazers,Toronto Raptors
17,-17,Los Angeles Lakers,Toronto Raptors
-12,12,Vancouver Grizzlies,Toronto Raptors
-20,20,Toronto Raptors,Boston Celtics
-2,2,Toronto Raptors,Indiana Pacers
19,-19,Boston Celtics,Toronto Raptors
17,-17,Toronto Raptors,Orlando Magic
-12,12,Toronto Raptors,Detroit Pistons
9,-9,Chicago Bulls,Toronto Raptors
12,-12,New York Knicks,Toronto Raptors
6,-6,Toronto Raptors,Milwaukee Bucks
22,-22,Detroit Pistons,Toronto Raptors
11,-11,Orlando Magic,Toronto Raptors
3,-3,Atlanta Hawks,Toronto Raptors
-1,1,Toronto Raptors,Charlotte Hornets
-8,8,Toronto Raptors,Atlanta Hawks
6,-6,Toronto Raptors,Washington Bullets
25,-25,New Jersey Nets,Toronto Raptors
-8,8,Toronto Raptors,Indiana Pacers
-3,3,Toronto Raptors,Chicago Bulls
2,-2,Toronto Raptors,Boston Celtics
7,-7,Toronto Raptors,New Jersey Nets
-5,5,Toronto Raptors,Vancouver Grizzlies
11,-11,Denver Nuggets,Toronto Raptors
27,-27,Sacramento Kings,Toronto Raptors
3,-3,Golden State Warriors,Toronto Raptors
-6,6,Los Angeles Clippers,Toronto Raptors
-3,3,Toronto Raptors,Portland Trail Blazers
-5,5,Toronto Raptors,Milwaukee Bucks
