PAIR,EUCLIDEAN_DISTANCE
"(0, 1)",1.688642127702783
"(0, 2)",4.698915116925449
"(0, 3)",4.767270548289651
"(0, 4)",1.2716667863089595
"(0, 5)",2.8864461513946185
"(0, 6)",1.3087407074845705
"(0, 7)",1.8830385906831253
"(0, 8)",2.526806822194566
"(0, 9)",3.4709524600782378
"(1, 2)",3.4391615636223047
"(1, 3)",4.371221244176201
"(1, 4)",1.5974094670257255
"(1, 5)",1.7572914583573127
"(1, 6)",1.6792663565640855
"(1, 7)",2.5884282630454942
"(1, 8)",3.1445640308726945
"(1, 9)",3.881099178835245
"(2, 3)",5.0849199042264015
"(2, 4)",4.478623412737032
"(2, 5)",2.2572337562365323
"(2, 6)",4.515348718545274
"(2, 7)",5.293902686864947
"(2, 8)",5.773378746565979
"(2, 9)",6.453633757706923
"(3, 4)",3.763534780873887
"(3, 5)",4.14530398311736
"(3, 6)",3.5420222213693338
"(3, 7)",3.4545846082416185
"(3, 8)",3.3604898903363827
"(3, 9)",3.110790597943239
"(4, 5)",2.4216583432160492
"(4, 6)",0.6904160093405045
"(4, 7)",1.5396456006477925
"(4, 8)",2.1718253140442823
"(4, 9)",2.746295830467132
"(5, 6)",2.675878698945536
"(5, 7)",3.587175310131136
"(5, 8)",4.170923091244566
"(5, 9)",4.7390152836184125
"(6, 7)",1.11865596348245
"(6, 8)",1.695271888176582
"(6, 9)",2.4693609913163517
"(7, 8)",0.7223687363160409
"(7, 9)",1.7694193864376184
"(8, 9)",1.313080884189198
