PAIR,MAHALANOBIS_DISTANCE
"(0, 1)",134.03636340767963
"(0, 2)",397.4542560457604
"(0, 3)",2247.783756513414
"(0, 4)",152.5998808249134
"(0, 5)",199.64711157439768
"(0, 6)",582.5742445998717
"(0, 7)",1162.6578558195392
"(0, 8)",1601.3592798706284
"(0, 9)",1678.8476928390826
"(1, 2)",266.261643618119
"(1, 3)",2117.8561596789336
"(1, 4)",35.061779586578
"(1, 5)",309.51775436421525
"(1, 6)",454.81053005009073
"(1, 7)",1034.2593039384915
"(1, 8)",1473.1618039626346
"(1, 9)",1551.0142843084614
"(2, 3)",1888.8524772432013
"(2, 4)",261.17021258813827
"(2, 5)",539.1596965814283
"(2, 6)",277.904319018055
"(2, 7)",820.1558680458246
"(2, 8)",1254.8816072836867
"(2, 9)",1333.8064858658388
"(3, 4)",2095.5084315098543
"(3, 5)",2420.895454808452
"(3, 6)",1665.5626971023605
"(3, 7)",1086.4889331522077
"(3, 8)",651.700445344502
"(3, 9)",578.1622627726964
"(4, 5)",337.44981580640666
"(4, 6)",430.7120277310842
"(4, 7)",1010.7578925099278
"(4, 8)",1449.5724552126087
"(4, 9)",1527.1476491743977
"(5, 6)",762.8106746179625
"(5, 7)",1340.4863434610425
"(5, 8)",1779.1782797088597
"(5, 9)",1857.335752784976
"(6, 7)",580.0991173593621
"(6, 8)",1018.8787039949575
"(6, 9)",1096.510769170402
"(7, 8)",438.91338250021244
"(7, 9)",516.935638096702
"(8, 9)",79.57784184194884
