PTS_HOME,PTS_AWAY,TEAM_NAME_HOME,TEAM_NAME_AWAY,GAME_DATE
66,68,Toronto Huskies,New York Knicks,1946-11-01
71,60,Cleveland Rebels,Toronto Huskies,1946-11-03
73,71,Toronto Huskies,Detroit Falcons,1946-11-08
64,54,Chicago Stags,Toronto Huskies,1946-11-09
85,68,Toronto Huskies,Providence Steamrollers,1946-11-15
53,49,Boston Celtics,Toronto Huskies,1946-11-16
54,48,Pittsburgh Ironmen,Toronto Huskies,1946-11-18
72,74,Toronto Huskies,Cleveland Rebels,1946-11-19
83,82,Toronto Huskies,Boston Celtics,1946-11-22
74,50,Washington Capitols,Toronto Huskies,1946-11-23
68,78,Toronto Huskies,Washington Capitols,1946-11-26
72,87,Toronto Huskies,Cleveland Rebels,1946-11-29
79,65,Providence Steamrollers,Toronto Huskies,1946-11-30
61,65,Chicago Stags,Toronto Huskies,1946-12-05
59,68,Providence Steamrollers,Toronto Huskies,1946-12-07
73,85,Toronto Huskies,Philadelphia Warriors,1946-12-10
52,62,Toronto Huskies,Pittsburgh Ironmen,1946-12-13
46,50,St. Louis Bombers,Toronto Huskies,1946-12-15
78,62,Cleveland Rebels,Toronto Huskies,1946-12-17
74,70,Toronto Huskies,New York Knicks,1946-12-20
80,88,Toronto Huskies,Chicago Stags,1946-12-27
48,52,Detroit Falcons,Toronto Huskies,1946-12-29
87,76,Toronto Huskies,Chicago Stags,1946-12-31
53,58,Toronto Huskies,Boston Celtics,1947-01-03
76,61,Toronto Huskies,Detroit Falcons,1947-01-06
63,76,New York Knicks,Toronto Huskies,1947-01-08
74,55,Philadelphia Warriors,Toronto Huskies,1947-01-09
81,66,Washington Capitols,Toronto Huskies,1947-01-11
74,104,Toronto Huskies,Philadelphia Warriors,1947-01-14
64,74,Toronto Huskies,Detroit Falcons,1947-01-17
72,71,Toronto Huskies,St. Louis Bombers,1947-01-21
93,96,Toronto Huskies,Providence Steamrollers,1947-01-24
82,88,Toronto Huskies,Cleveland Rebels,1947-01-27
80,70,Cleveland Rebels,Toronto Huskies,1947-01-28
83,74,Toronto Huskies,Washington Capitols,1947-01-31
90,75,Chicago Stags,Toronto Huskies,1947-02-02
55,58,Pittsburgh Ironmen,Toronto Huskies,1947-02-05
79,61,Philadelphia Warriors,Toronto Huskies,1947-02-06
69,46,New York Knicks,Toronto Huskies,1947-02-08
84,73,Toronto Huskies,Pittsburgh Ironmen,1947-02-14
80,64,St. Louis Bombers,Toronto Huskies,1947-02-16
65,57,Toronto Huskies,St. Louis Bombers,1947-02-18
69,59,Washington Capitols,Toronto Huskies,1947-02-19
67,61,Toronto Huskies,Boston Celtics,1947-02-21
61,52,Detroit Falcons,Toronto Huskies,1947-02-23
83,60,Toronto Huskies,Providence Steamrollers,1947-02-25
77,69,Toronto Huskies,Philadelphia Warriors,1947-02-28
63,48,New York Knicks,Toronto Huskies,1947-03-01
76,66,Philadelphia Warriors,Toronto Huskies,1947-03-03
60,63,Pittsburgh Ironmen,Toronto Huskies,1947-03-05
70,86,Toronto Huskies,Washington Capitols,1947-03-07
67,65,Boston Celtics,Toronto Huskies,1947-03-08
79,71,Toronto Huskies,St. Louis Bombers,1947-03-11
69,57,Boston Celtics,Toronto Huskies,1947-03-12
71,64,Providence Steamrollers,Toronto Huskies,1947-03-13
64,70,Toronto Huskies,Pittsburgh Ironmen,1947-03-18
83,99,Toronto Huskies,Chicago Stags,1947-03-21
60,40,St. Louis Bombers,Toronto Huskies,1947-03-23
71,61,Toronto Huskies,New York Knicks,1947-03-28
66,63,Detroit Falcons,Toronto Huskies,1947-03-29
94,79,Toronto Raptors,New Jersey Nets,1995-11-03
97,89,Indiana Pacers,Toronto Raptors,1995-11-04
117,108,Chicago Bulls,Toronto Raptors,1995-11-07
90,109,Toronto Raptors,Sacramento Kings,1995-11-08
108,112,Toronto Raptors,Phoenix Suns,1995-11-10
123,117,Charlotte Hornets,Toronto Raptors,1995-11-11
100,103,Toronto Raptors,Utah Jazz,1995-11-13
93,96,Toronto Raptors,Houston Rockets,1995-11-15
114,96,Toronto Raptors,Minnesota Timberwolves,1995-11-17
102,103,Washington Bullets,Toronto Raptors,1995-11-18
102,97,Toronto Raptors,Seattle SuperSonics,1995-11-21
96,86,Milwaukee Bucks,Toronto Raptors,1995-11-22
114,102,Atlanta Hawks,Toronto Raptors,1995-11-25
101,98,Toronto Raptors,Golden State Warriors,1995-11-27
93,89,Cleveland Cavaliers,Toronto Raptors,1995-11-28
105,102,Toronto Raptors,Philadelphia 76ers,1995-12-01
94,112,Toronto Raptors,Miami Heat,1995-12-03
119,89,Seattle SuperSonics,Toronto Raptors,1995-12-05
96,88,Portland Trail Blazers,Toronto Raptors,1995-12-07
120,103,Los Angeles Lakers,Toronto Raptors,1995-12-08
81,93,Vancouver Grizzlies,Toronto Raptors,1995-12-10
96,116,Toronto Raptors,Boston Celtics,1995-12-12
100,102,Toronto Raptors,Indiana Pacers,1995-12-14
122,103,Boston Celtics,Toronto Raptors,1995-12-15
110,93,Toronto Raptors,Orlando Magic,1995-12-17
82,94,Toronto Raptors,Detroit Pistons,1995-12-19
113,104,Chicago Bulls,Toronto Raptors,1995-12-22
103,91,New York Knicks,Toronto Raptors,1995-12-23
93,87,Toronto Raptors,Milwaukee Bucks,1995-12-26
113,91,Detroit Pistons,Toronto Raptors,1995-12-28
121,110,Orlando Magic,Toronto Raptors,1996-01-03
104,101,Atlanta Hawks,Toronto Raptors,1996-01-04
91,92,Toronto Raptors,Charlotte Hornets,1996-01-09
79,87,Toronto Raptors,Atlanta Hawks,1996-01-11
106,100,Toronto Raptors,Washington Bullets,1996-01-13
108,83,New Jersey Nets,Toronto Raptors,1996-01-15
102,110,Toronto Raptors,Indiana Pacers,1996-01-16
89,92,Toronto Raptors,Chicago Bulls,1996-01-18
97,95,Toronto Raptors,Boston Celtics,1996-01-21
86,79,Toronto Raptors,New Jersey Nets,1996-01-23
101,106,Toronto Raptors,Vancouver Grizzlies,1996-01-25
93,82,Denver Nuggets,Toronto Raptors,1996-01-27
102,75,Sacramento Kings,Toronto Raptors,1996-01-30
114,111,Golden State Warriors,Toronto Raptors,1996-02-02
113,119,Los Angeles Clippers,Toronto Raptors,1996-02-03
87,90,Toronto Raptors,Portland Trail Blazers,1996-02-05
88,93,Toronto Raptors,Milwaukee Bucks,1996-02-07
87,98,Miami Heat,Toronto Raptors,1996-02-13
76,95,Toronto Raptors,Cleveland Cavaliers,1996-02-15
108,95,Detroit Pistons,Toronto Raptors,1996-02-17
102,86,Utah Jazz,Toronto Raptors,1996-02-22
110,105,Phoenix Suns,Toronto Raptors,1996-02-23
105,98,Dallas Mavericks,Toronto Raptors,1996-02-25
105,100,Houston Rockets,Toronto Raptors,1996-02-27
120,95,San Antonio Spurs,Toronto Raptors,1996-02-29
89,100,Cleveland Cavaliers,Toronto Raptors,1996-03-03
84,105,Toronto Raptors,Detroit Pistons,1996-03-05
82,89,Toronto Raptors,New York Knicks,1996-03-06
109,79,Miami Heat,Toronto Raptors,1996-03-08
128,112,Toronto Raptors,Dallas Mavericks,1996-03-10
118,110,Philadelphia 76ers,Toronto Raptors,1996-03-12
113,101,Charlotte Hornets,Toronto Raptors,1996-03-15
105,96,Indiana Pacers,Toronto Raptors,1996-03-17
114,122,Toronto Raptors,Denver Nuggets,1996-03-18
107,89,Toronto Raptors,Charlotte Hornets,1996-03-20
108,120,Toronto Raptors,San Antonio Spurs,1996-03-22
109,108,Toronto Raptors,Chicago Bulls,1996-03-24
111,114,Toronto Raptors,Atlanta Hawks,1996-03-26
103,94,Philadelphia 76ers,Toronto Raptors,1996-03-27
86,126,Toronto Raptors,Orlando Magic,1996-03-29
106,111,Toronto Raptors,Los Angeles Lakers,1996-03-31
104,103,Toronto Raptors,Los Angeles Clippers,1996-04-02
77,98,Toronto Raptors,Cleveland Cavaliers,1996-04-04
106,139,Toronto Raptors,New York Knicks,1996-04-06
115,101,Minnesota Timberwolves,Toronto Raptors,1996-04-08
96,102,Milwaukee Bucks,Toronto Raptors,1996-04-09
136,108,Boston Celtics,Toronto Raptors,1996-04-12
110,97,Washington Bullets,Toronto Raptors,1996-04-14
125,79,New York Knicks,Toronto Raptors,1996-04-15
107,95,New Jersey Nets,Toronto Raptors,1996-04-17
107,103,Toronto Raptors,Washington Bullets,1996-04-19
105,109,Toronto Raptors,Philadelphia 76ers,1996-04-21
99,107,Toronto Raptors,New York Knicks,1996-11-01
109,98,Charlotte Hornets,Toronto Raptors,1996-11-02
100,96,Toronto Raptors,Dallas Mavericks,1996-11-05
93,92,Toronto Raptors,Los Angeles Lakers,1996-11-08
93,104,Toronto Raptors,Denver Nuggets,1996-11-11
110,98,Toronto Raptors,Philadelphia 76ers,1996-11-13
99,96,New York Knicks,Toronto Raptors,1996-11-14
92,87,Orlando Magic,Toronto Raptors,1996-11-16
98,106,Toronto Raptors,Seattle SuperSonics,1996-11-19
81,89,Toronto Raptors,Cleveland Cavaliers,1996-11-21
88,91,Toronto Raptors,Atlanta Hawks,1996-11-23
87,98,Toronto Raptors,Sacramento Kings,1996-11-26
92,88,Toronto Raptors,Charlotte Hornets,1996-11-27
